Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
7/23/2016,Con Edison,DLC,20:25,0:00,3:45,Triboro,Event,Immediate
7/24/2016,Con Edison,DLRP,6:00,10:00,4:00,Riverdale,Event,Contingency
7/24/2016,Con Edison,DLC,6:19,10:00,3:41,Riverdale,Event,Contingency
7/25/2016,Con Edison,CSRP,11:00,15:00,4:00,All,Event,Planned
7/25/2016,Con Edison,CSRP,14:00,18:00,4:00,All,Event,Planned
7/25/2016,Con Edison,CSRP,16:00,20:00,4:00,All,Event,Planned
7/25/2016,Con Edison,CSRP,19:00,23:00,4:00,All,Event,Planned
7/25/2016,Con Edison,CDP,14:00,18:00,4:00,Zones J1 J2 J3 J4 J5,Event,Planned
7/25/2016,Con Edison,CDP,19:00,23:00,4:00,Zones J6 J7 J8,Event,Planned
7/25/2016,NYISO,TDRP,13:00,19:00,6:00,Zone J,Event,Immediate
7/25/2016,Con Edison,DLC,11:40,15:40,4:00,Daytime Networks,Event,Planned
7/25/2016,Con Edison,DLC,16:00,20:00,4:00,Nighttime Networks,Event,Planned
7/26/2016,Con Edison,CSRP,11:00,15:00,4:00,All,Event,Planned
7/26/2016,Con Edison,CSRP,14:00,18:00,4:00,All,Event,Planned
7/26/2016,Con Edison,CSRP,16:00,20:00,4:00,All,Event,Planned
7/26/2016,Con Edison,CSRP,19:00,23:00,4:00,All,Event,Planned
7/26/2016,Con Edison,CDP,14:00,18:00,4:00,Zones J1 J2 J3 J4 J5,Event,Planned
7/26/2016,Con Edison,CDP,19:00,23:00,4:00,Zones J6 J7 J8,Event,Planned
7/26/2016,Con Edison,DLC,11:00,15:00,4:00,Daytime Networks,Event,Planned
7/26/2016,Con Edison,DLC,16:00,20:00,4:00,Nighttime Networks,Event,Planned
8/11/2016,Con Edison,DLRP,14:00,20:00,6:00,Crown Heights,Event,Contingency
8/11/2016,Con Edison,DLRP,14:00,20:00,6:00,Ridgewood,Event,Contingency
8/11/2016,Con Edison,DLRP,14:00,20:00,6:00,Richmond Hill,Event,Contingency
8/11/2016,Con Edison,DLC,14:00,20:00,6:00,Crown Heights,Event,Contingency
8/11/2016,Con Edison,DLC,14:00,20:00,6:00,Ridgewood,Event,Contingency
8/11/2016,Con Edison,DLC,14:00,20:00,6:00,Richmond Hill,Event,Contingency
8/12/2016,Con Edison,DLRP,14:00,20:00,6:00,Crown Heights,Event,Contingency
